n,case,eps,rc to prev,rc to 1
2,1,0.05,-0.1191695591800336,-0.1191695591800336
3,1,0.05,0.009365589338675352,-0.11092006299430941
4,1,0.05,0.0002241820894881579,-0.11072074719630948
5,1,0.05,0.0004935486854357644,-0.11028184459010291
6,1,0.05,-0.0003239103483001554,-0.1105700335077107
7,1,0.05,9.879974924726738e-05,-0.11048215805004827
8,1,0.05,-2.1215728232335175e-05,-0.11050102981884088
9,1,0.05,3.848283994582152e-06,-0.11049760677419074
10,1,0.05,-6.890825740377128e-07,-0.11049821971478947
2,1,0.1,-0.33166990801204466,-0.33166990801204466
3,1,0.1,0.06870797409826716,-0.28575030136264373
4,1,0.1,0.003106650414972121,-0.2835313772399783
5,1,0.1,0.013639602336861005,-0.27375903013869307
6,1,0.1,-0.017670842279694,-0.2865923197741643
7,1,0.1,0.010970351303824401,-0.2787659868992404
8,1,0.1,-0.004660764065937988,-0.2821274884706327
9,1,0.1,0.0016986971079129695,-0.2809080405114475
10,1,0.1,-0.0006073159095249542,-0.2813447564988564
2,1,0.15,-0.572192854665714,-0.572192854665714
3,1,0.15,0.2777651425777217,-0.4533629419461679
4,1,0.15,0.01575659089581151,-0.4447498054539237
5,1,0.15,0.10247556035867869,-0.3878502306285492
6,1,0.15,-0.18309719955736967,-0.4999331391101515
7,1,0.15,0.20503258902409,-0.3974031359367564
8,1,0.15,-0.10962014332311412,-0.4634598905414283
9,1,0.15,0.06699405276232423,-0.42751489413925753
10,1,0.15,-0.03372883423703058,-0.4468241493780034
2,T = 0,0.05,-0.483584640320416,-0.483584640320416
3,T = 0,0.05,0.15761787855986148,-0.4021883468719921
4,T = 0,0.05,-0.036943198361745075,-0.42427342135646284
5,T = 0,0.05,0.014649971615818349,-0.41583904332086286
6,T = 0,0.05,-0.004713307282267219,-0.4185923734119948
7,T = 0,0.05,0.0011985079138425003,-0.4178955517703607
8,T = 0,0.05,-0.0002523600133815336,-0.4180424516567054
9,T = 0,0.05,4.890601335852575e-05,-0.418013990433072
10,T = 0,0.05,-9.534598135836862e-06,-0.4180195394357939
2,T = 0,0.1,-0.967169280640832,-0.967169280640832
3,T = 0,0.1,9.917089242906734,-0.6415841068471367
4,T = 0,0.1,-0.4929485529270652,-0.8182647027229022
5,T = 0,0.1,0.7425637759506737,-0.6833146541533024
6,T = 0,0.1,-0.2782148402877855,-0.7714212170695235
7,T = 0,0.1,0.19510378213076865,-0.7268246320049396
8,T = 0,0.1,-0.06883192137754968,-0.7456278174570586
9,T = 0,0.1,0.028643357057725083,-0.7383417442069284
10,T = 0,0.1,-0.010858015486560792,-0.7411828336005161
2,T = 0,0.15,-1.450753920961248,-1.450753920961248
3,T = 0,0.15,-1.6252030364452321,-0.7181872799254337
4,T = 0,0.15,-2.1159336275627707,-1.3144842910061423
5,T = 0,0.15,-2.1723966519849323,-0.6312996701225434
6,T = 0,0.15,-1.8146422932884982,-1.300358882267597
7,T = 0,0.15,-1.6912533863363568,-0.7923759055163204
8,T = 0,0.15,-1.5473640101104524,-1.1136459569521384
9,T = 0,0.15,-1.6431212624384433,-0.9269118686939157
10,T = 0,0.15,-1.494374238640574,-1.0361328892681076
2,sig = 0,0.05,-0.07578583691517053,-0.07578583691517053
3,sig = 0,0.05,-0.0004962610346030358,-0.07624448839193779
4,sig = 0,0.05,0.003087699028146422,-0.07339220939650067
5,sig = 0,0.05,-0.0005535903036069492,-0.07390517048462543
6,sig = 0,0.05,5.708769522776582e-06,-0.07389988362268748
7,sig = 0,0.05,1.6607530472422552e-05,-0.07388450338678423
8,sig = 0,0.05,-3.919580085245462e-06,-0.0738881333706414
9,sig = 0,0.05,4.775255735823488e-07,-0.07388769112854109
10,sig = 0,0.05,-2.731953284402617e-08,-0.07388771642949672
2,sig = 0,0.1,-0.22123923871547146,-0.22123923871547146
3,sig = 0,0.1,-0.0034386093147518704,-0.2239170927231877
4,sig = 0,0.1,0.0429158759239028,-0.19061081496783425
5,sig = 0,0.1,-0.014801001963987308,-0.20259058588512543
6,sig = 0,0.1,0.0003096782455097169,-0.2023436455368094
7,sig = 0,0.1,0.0018012386207570447,-0.20090687610505803
8,sig = 0,0.1,-0.0008487140240883452,-0.20158507764586023
9,sig = 0,0.1,0.00020697386644503432,-0.2014198266223532
10,sig = 0,0.1,-2.367731595688149e-05,-0.20143873485743516
2,sig = 0,0.15,-0.39190288155882164,-0.39190288155882164
3,sig = 0,0.15,-0.011700960445665988,-0.3990182018888253
4,sig = 0,0.15,0.22088366525649844,-0.2662711395695881
5,sig = 0,0.15,-0.09761195026298622,-0.33789184460043903
6,sig = 0,0.15,0.0033446020891886277,-0.3356773562806208
7,sig = 0,0.15,0.029092471687061684,-0.3163505685771408
8,sig = 0,0.15,-0.02001654747061296,-0.330034869874474
9,sig = 0,0.15,0.00746529670652907,-0.3250333813950586
10,sig = 0,0.15,-0.0012717890230260905,-0.3258917965315094
2,ps = ms,0.05,-0.11939902384773882,-0.11939902384773882
3,ps = ms,0.05,0.009447371043898825,-0.11107965968440892
4,ps = ms,0.05,0.00020426925176737301,-0.11089808059161185
5,ps = ms,0.05,0.0004979919824905897,-0.11045531496412947
6,ps = ms,0.05,-0.00032492524292545026,-0.1107443504870078
7,ps = ms,0.05,9.906291396888112e-05,-0.11065625823110375
8,ps = ms,0.05,-2.129083265927042e-05,-0.11067519309988633
9,ps = ms,0.05,3.869708132148547e-06,-0.11067175167244894
10,ps = ms,0.05,-6.948565948572887e-07,-0.11067236962804729
2,ps = ms,0.1,-0.33225126215659295,-0.33225126215659295
3,ps = ms,0.1,0.06933825665156902,-0.2859507287932455
4,ps = ms,0.1,0.0028305023269566904,-0.28392961066953304
5,ps = ms,0.1,0.013764930834288118,-0.2740729512879174
6,ps = ms,0.1,-0.017727360984762238,-0.2869417221290396
7,ps = ms,0.1,0.011000908369261387,-0.27909743335223786
8,ps = ms,0.1,-0.004677691383089357,-0.28246959307629305
9,ps = ms,0.1,0.001708339330991569,-0.2812438076609629
10,ps = ms,0.1,-0.000612465316901551,-0.2816840209000788
2,ps = ms,0.15,-0.5731430878221103,-0.5731430878221103
3,ps = ms,0.15,0.2806670011065306,-0.45333843837954835
4,ps = ms,0.15,0.014350006462598803,-0.44549384143744053
5,ps = ms,0.15,0.10348885256984244,-0.38810863534489015
6,ps = ms,0.15,-0.18366406786050343,-0.5004910924661623
7,ps = ms,0.15,0.20571362206722227,-0.3977353058425353
8,ps = ms,0.15,-0.11001824333496792,-0.4639954095164113
9,ps = ms,0.15,0.06740330217359473,-0.42786693013761207
10,ps = ms,0.15,-0.03401672824741742,-0.4473290252964816
2,ps = ms T = 0,0.05,-0.48383434420813076,-0.48383434420813076
3,ps = ms T = 0,0.05,0.15796758608994488,-0.40229690154015585
4,ps = ms T = 0,0.05,-0.037035733682764735,-0.4244332743160779
5,ps = ms T = 0,0.05,0.014681245648364849,-0.41598323782928726
6,ps = ms T = 0,0.05,-0.004723265697616011,-0.41874170416888096
7,ps = ms T = 0,0.05,0.001201888016332909,-0.4180430967887274
8,ps = ms T = 0,0.05,-0.0002534255138162014,-0.41819057951594263
9,ps = ms T = 0,0.05,4.921031455777194e-05,-0.41816194849134797
10,ps = ms T = 0,0.05,-9.613343986257594e-06,-0.4181675419006814
2,ps = ms T = 0,0.1,-0.9676686884162615,-0.9676686884162615
3,ps = ms T = 0,0.1,10.08773707887377,-0.6415189177443619
4,ps = ms T = 0,0.1,-0.4940037033281726,-0.8186098999517384
5,ps = ms T = 0,0.1,0.7453581190631628,-0.6834093161630872
6,ps = ms T = 0,0.1,-0.27881718374401104,-0.7716802390300859
7,ps = ms T = 0,0.1,0.19582567947640794,-0.7269693667002614
8,ps = ms T = 0,0.1,-0.06914165218531443,-0.745847155783808
9,ps = ms T = 0,0.1,0.028839111829948735,-0.7385176134875577
10,ps = ms T = 0,0.1,-0.010952269546572257,-0.7413814390663228
2,ps = ms T = 0,0.15,-1.4515030326243923,-1.4515030326243923
3,ps = ms T = 0,0.15,-1.62532016617097,-0.7176660486126182
4,ps = ms T = 0,0.15,-2.1169330220928146,-1.3153481135625142
5,ps = ms T = 0,0.15,-2.1704678924434466,-0.6308951581324674
6,ps = ms T = 0,0.15,-1.8160350244384935,-1.3012024786537382
7,ps = ms T = 0,0.15,-1.6908386093242607,-0.7919176985218311
8,ps = ms T = 0,0.15,-1.5500824535694582,-1.1144624229414908
9,ps = ms T = 0,0.15,-1.641133810892936,-0.926614270575483
10,ps = ms T = 0,0.15,-1.5002245910089471,-1.0367093464872723
